procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 11142568  85188 3198496    0    0   320   223  218  476  3  1 96  0  0
 0  0      0 11140552  85188 3200068    0    0     0     0  190  350  0  0 100  0  0
 0  0      0 11140552  85188 3200068    0    0     0   164  780 2156  1  0 99  0  0
 1  0      0 11128724  85188 3211948    0    0     0     0 1232 3071  1  1 98  0  0
 4  0      0 11100580  85188 3229544    0    0     0     0 4109 8929  4  1 95  0  0
 0  0      0 11106520  85188 3222892    0    0     0     0 4725 8652  4  1 95  0  0
 0  0      0 11111236  85204 3217708    0    0     0    76  198  319  0  0 100  0  0
 0  0      0 11111080  85204 3216316    0    0     0     0 5988 12759  5  1 94  0  0
 0  0      0 11102908  85204 3224972    0    0     0     0 3079 6295  2  1 97  0  0
 0  0      0 11106328  85204 3221644    0    0     0     0  126  312  0  0 100  0  0
 0  0      0 11106328  85204 3221644    0    0     0     0   60   82  0  0 100  0  0
 0  0      0 11109448  85204 3218784    0    0     0     0   68   93  0  0 100  0  0
 0  0      0 11109604  85212 3218656    0    0     0    16  104  123  0  0 100  0  0
 0  0      0 11125228  85212 3202160    0    0     0   388   93  186  0  0 100  0  0
 0  0      0 11125740  85220 3202160    0    0     0   144  120  206  0  0 100  0  0
 0  0      0 11125740  85220 3202160    0    0     0     0   82  128  0  0 100  0  0
 0  0      0 11114408  85220 3214956    0    0     0     0  990 2566  3  1 97  0  0
 0  0      0 11115464  85220 3214728    0    0     0     0  195  389  0  0 100  0  0
 0  0      0 11122452  85220 3207724    0    0     0     0  213  463  0  0 100  0  0
 0  0      0 11136876  85228 3202460    0    0     0   388  389  912  0  0 99  0  0
 0  0      0 11136624  85228 3202476    0    0     0     0  432 1229  1  0 99  0  0
